GNa_fast,GNa_late,Gto,GKr,GKs,GK1,GNaCa,GKb,PCa,INaK,PNab,PCab,GpCa,SERCA_total,RyR_total,Trans_total,Leak_total,KCaMK
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1
0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2
